Using TensorFlow backend.
[2017-05-11 14:35:15,182] Making new env: CartPole-v0
main
____________________________________________________________________________________________________
Layer (type)                     Output Shape          Param #     Connected to                     
====================================================================================================
flatten_1 (Flatten)              (None, 4)             0           flatten_input_1[0][0]            
____________________________________________________________________________________________________
dense_1 (Dense)                  (None, 16)            80          flatten_1[0][0]                  
____________________________________________________________________________________________________
activation_1 (Activation)        (None, 16)            0           dense_1[0][0]                    
____________________________________________________________________________________________________
dense_2 (Dense)                  (None, 16)            272         activation_1[0][0]               
____________________________________________________________________________________________________
activation_2 (Activation)        (None, 16)            0           dense_2[0][0]                    
____________________________________________________________________________________________________
dense_3 (Dense)                  (None, 16)            272         activation_2[0][0]               
____________________________________________________________________________________________________
activation_3 (Activation)        (None, 16)            0           dense_3[0][0]                    
____________________________________________________________________________________________________
dense_4 (Dense)                  (None, 2)             34          activation_3[0][0]               
====================================================================================================
Total params: 658
____________________________________________________________________________________________________
None
loading from duel_dqn_CartPole-v0_weights.h5
Training for 50000 steps ...
    29/50000: episode: 1, duration: 0.079s, episode steps: 29, steps per second: 365, episode reward: 29.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.483 [0.000, 1.000], mean observation: 0.053 [-0.602, 0.915], loss: --, mean_absolute_error: --, mean_q: --
    43/50000: episode: 2, duration: 0.007s, episode steps: 14, steps per second: 2062, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.714 [0.000, 1.000], mean observation: -0.049 [-2.057, 1.415], loss: --, mean_absolute_error: --, mean_q: --
    57/50000: episode: 3, duration: 0.538s, episode steps: 14, steps per second: 26, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.571 [0.000, 1.000], mean observation: -0.079 [-1.205, 0.650], loss: 0.642120, mean_absolute_error: 0.639105, mean_q: 0.200605
    88/50000: episode: 4, duration: 0.110s, episode steps: 31, steps per second: 283, episode reward: 31.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.484 [0.000, 1.000], mean observation: 0.100 [-0.415, 1.228], loss: 0.470933, mean_absolute_error: 0.585567, mean_q: 0.446409
   112/50000: episode: 5, duration: 0.086s, episode steps: 24, steps per second: 280, episode reward: 24.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.667 [0.000, 1.000], mean observation: -0.064 [-2.679, 1.609], loss: 0.236876, mean_absolute_error: 0.600182, mean_q: 0.816526
   154/50000: episode: 6, duration: 0.155s, episode steps: 42, steps per second: 271, episode reward: 42.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.429 [0.000, 1.000], mean observation: 0.026 [-1.165, 1.841], loss: 0.057299, mean_absolute_error: 0.726853, mean_q: 1.321024
   168/50000: episode: 7, duration: 0.052s, episode steps: 14, steps per second: 268, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.357 [0.000, 1.000], mean observation: 0.094 [-0.940, 1.638], loss: 0.054162, mean_absolute_error: 0.818744, mean_q: 1.510419
   203/50000: episode: 8, duration: 0.126s, episode steps: 35, steps per second: 278, episode reward: 35.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.514 [0.000, 1.000], mean observation: 0.105 [-0.593, 1.031], loss: 0.049400, mean_absolute_error: 0.865473, mean_q: 1.592898
   214/50000: episode: 9, duration: 0.042s, episode steps: 11, steps per second: 261, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.818 [0.000, 1.000], mean observation: -0.107 [-2.254, 1.419], loss: 0.038920, mean_absolute_error: 0.933490, mean_q: 1.747072
   224/50000: episode: 10, duration: 0.038s, episode steps: 10, steps per second: 265, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.100 [0.000, 1.000], mean observation: 0.116 [-1.585, 2.586], loss: 0.038088, mean_absolute_error: 0.991154, mean_q: 1.903979
   258/50000: episode: 11, duration: 0.120s, episode steps: 34, steps per second: 282, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.618 [0.000, 1.000], mean observation: -0.055 [-2.609, 1.543], loss: 0.054914, mean_absolute_error: 1.094820, mean_q: 2.096227
